College Name,Category
"University College of Engineering, Ariyalur",Engineering
"Government Arts College, Ariyalur",Arts and Science
"Government Medical College, Ariyalur",Medical
Meenakshi Ramasamy Arts and Science College,Arts and Science
Meenakshi Ramasamy Engineering College,Engineering
Meenakshi Ramasamy Physical Education College,Physical Education
Meenakshi Ramasamy College of Education,B.Ed
Modern Polytechnic College,Polytechnic
National College of Education,B.Ed
Sri Saraswathi College of Education,B.Ed
Sri Lakshmi College of Education,B.Ed
Vinayaga College of Education,B.Ed
Mother Teresa B.Ed College (Ariyalur),B.Ed
K.K.C. College of Education,B.Ed
