College Name,Category
"SRM Institute of Science and Technology, Kattankulathur",University
"SSN College of Engineering, Kalavakkam",Engineering
"Madras Christian College (MCC), Tambaram",Arts and Science
Chengalpattu Medical College,Medical
B.S. Abdur Rahman Crescent Institute of Science and Technology,University
Karpaga Vinayaga College of Engineering and Technology,Engineering
Karpaga Vinayaga Institute of Medical Sciences,Medical
Karpaga Vinayaga College of Nursing,Nursing
Asan Memorial College of Arts & Science,Arts and Science
Asan Memorial College of Education,B.Ed
Sri Balaji Polytechnic College,Polytechnic
Valliammai Engineering College,Engineering
Sathyabama Institute of Science and Technology,University
St. Joseph's College of Engineering,Engineering
Jeppiaar Engineering College,Engineering
"Hindustan Institute of Technology and Science (HITS), Padur",University
KCG College of Technology,Engineering
Tagore Engineering College,Engineering
Tagore Medical College and Hospital,Medical
Tagore College of Nursing,Nursing
Dhanalakshmi College of Engineering,Engineering
Agni College of Technology,Engineering
Prince Shri Venkateshwara Padmavathy Engineering College,Engineering
Rajalakshmi Engineering College,Engineering
Rajalakshmi Institute of Technology,Engineering
"VIT University, Chennai Campus (Kelambakkam)",University
Chettinad Hospital and Research Institute,Medical
Chettinad College of Nursing,Nursing
Shri Sathya Sai Medical College and Research Institute,Medical
"AMET University, Kanathur",University
Mohamed Sathak A.J. College of Engineering,Engineering
"Sri Sairam Engineering College, Tambaram",Engineering
"Sri Sairam Institute of Technology, Tambaram",Engineering
Sri Sairam Ayurveda Medical College,Medical
Sri Sairam Siddha Medical College,Medical
Sri Sairam Homoeopathy Medical College,Medical
GKM College of Engineering and Technology,Engineering
Sriram Ramanujar Engineering College,Engineering
Vidhya Sagar Women's College,Arts and Science
Vidyasagar Women's College of Education,B.Ed
Annai Theresa Arts and Science College,Arts and Science
Anand Institute of Higher Technology,Engineering
Apollo Priyadarshanam Institute of Technology,Engineering
Dhaanish Ahmed College of Engineering,Engineering
Peri Institute of Technology,Engineering
Sri Ramanujar Engineering College,Engineering
New Prince Shri Bhavani College of Engineering and Technology,Engineering
SMK Fomra Institute of Technology,Engineering
Sree Sastha Institute of Engineering and Technology,Engineering
SRM College of Nursing,Nursing
SRM School of Teacher Education,B.Ed
Subham Vidhya Mandir College of Education,B.Ed
Chengalpattu Government Polytechnic College,Polytechnic
Sri Sairam Polytechnic College,Polytechnic
Dhaanish Ahmed Polytechnic College,Polytechnic
