College Name,Category
Indian Institute of Technology (IIT) Madras,University
College of Engineering Guindy (Anna University),Engineering
Madras Institute of Technology (MIT) - Chromepet (Chennai Region),Engineering
Alagappa College of Technology (AC Tech) - Guindy,Engineering
School of Architecture and Planning (SAP) - Guindy,Engineering
"Loyola College (Autonomous), Nungambakkam",Arts and Science
"Presidency College (Autonomous), Triplicane",Arts and Science
"Madras Medical College (MMC), Park Town",Medical
"Stanley Medical College, Royapuram",Medical
"Kilpauk Medical College (KMC), Kilpauk",Medical
"Stella Maris College (Autonomous), Cathedral Road",Arts and Science
"Ethiraj College for Women (Autonomous), Egmore",Arts and Science
"Women's Christian College (WCC), Nungambakkam",Arts and Science
"Madras School of Social Work (MSSW), Egmore",Arts and Science
"M.O.P. Vaishnav College for Women, Nungambakkam",Arts and Science
"D.G. Vaishnav College, Arumbakkam",Arts and Science
"Pachaiyappa's College, Chetpet",Arts and Science
"Queen Mary's College (Autonomous), Mylapore",Arts and Science
"The New College, Royapettah",Arts and Science
"Guru Nanak College (Autonomous), Velachery",Arts and Science
"Justice Basheer Ahmed Sayeed College for Women (SIET), Teynampet",Arts and Science
"Chellammal Women's College, Guindy",Arts and Science
"Patrician College of Arts and Science, Adyar",Arts and Science
"Quaid-e-Milleth Government College for Women, Anna Salai",Arts and Science
"Ramakrishna Mission Vivekananda College, Mylapore",Arts and Science
"Meenakshi College for Women, Kodambakkam",Arts and Science
"Government Arts College for Men, Nandanam",Arts and Science
"Bharathi Women's College, George Town",Arts and Science
"Dr. Ambedkar Government Arts College, Vyasarpadi",Arts and Science
"Sir Theagaraya College, Washermanpet",Arts and Science
"Alpha Arts and Science College, Porur (Chennai Region)",Arts and Science
"CTTE College for Women, Perambur",Arts and Science
"Agurchand Manmull Jain College, Meenambakkam",Arts and Science
"Sindhi College, Maduravoyal (Chennai Region)",Arts and Science
"Loyola-ICAM College of Engineering and Technology (LICET), Nungambakkam",Engineering
"Meenakshi Sundararajan Engineering College, Kodambakkam",Engineering
"Central Polytechnic College (CPT), Taramani",Polytechnic
"Institute of Printing Technology, Taramani",Polytechnic
"Institute of Chemical Technology, Taramani",Polytechnic
"Government College of Fine Arts, Egmore",Arts and Science
"Tamil Nadu Dr. Ambedkar Law University, Perungudi",Law
"Government Law College, Pattabiram (Chennai border)",Law
"Tamil Nadu Physical Education and Sports University, Melakottaiyur (Regional)",University
"TN Dr. M.G.R. Medical University, Guindy",University
"Meston College of Education, Royapettah",B.Ed
"N.K.T. National College of Education for Women, Triplicane",B.Ed
"St. Christopher's College of Education, Vepery",B.Ed
"Government College of Education, Saidapet",B.Ed
"Lady Willingdon Institute of Advanced Study in Education, Triplicane",B.Ed
"Apollo College of Nursing, Aynambakkam (Chennai border)",Nursing
Madras Medical College - College of Nursing,Nursing
"Omayal Achi College of Nursing, Puzhal",Nursing
"M.A. Chidambaram College of Nursing, Taramani",Nursing
"St. Isabel's College of Nursing, Mylapore",Nursing
"Government Polytechnic College, Purasawalkam",Polytechnic
"Ramakrishna Mission Polytechnic College, Mylapore",Polytechnic
Sriram Polytechnic College (Proposed branch area),Polytechnic
"CIT (Central Institute of Technology), Taramani",Polytechnic
"National Institute of Fashion Technology (NIFT), Taramani",Fashion
"Asian College of Journalism (ACJ), Taramani",Journalism
"Madras School of Economics (MSE), Kotturpuram",Economics
Vels Institute of Science Technology & Advanced Studies (Pallavaram Branch),University
Dr. MGR Educational and Research Institute (Maduravoyal Branch),University
"Tamil Nadu Teachers Education University, Karapakkam",University
"Tamil Nadu Open University, Saidapet",University
"University of Madras, Chepauk/Marina",University
"Madras School of Social Work, Egmore",Arts and Science
Sathyabama (Proposed City Campus),University
Chettinad Dental College (Branch),Medical
SRM University (City Branch/Vadapalani Campus),University
"Government Dental College, Park Town",Medical
"Madras Veterinary College (TANUVAS), Vepery",Medical
"Government Siddha Medical College, Arumbakkam",Medical
"Government Yoga and Naturopathy Medical College, Arumbakkam",Medical
"Tamil Nadu Dr. J. Jayalalithaa Music and Fine Arts University, Adyar",University
