College Name,Category
PSG College of Technology,Engineering
Coimbatore Institute of Technology (CIT),Engineering
Government College of Technology (GCT),Engineering
Kumaraguru College of Technology (KCT),Engineering
"Sri Krishna College of Engineering and Technology (SKCET), Kuniamuthur",Engineering
"Sri Krishna College of Technology (SKCT), Kovaipudur",Engineering
Sri Ramakrishna Engineering College (SREC),Engineering
Hindusthan College of Engineering and Technology (HiCET),Engineering
KPR Institute of Engineering and Technology,Engineering
SNS College of Technology,Engineering
"Dr. Mahalingam College of Engineering and Technology (MCET), Pollachi",Engineering
Karpagam College of Engineering,Engineering
Amrita Vishwa Vidyapeetham (Amrita University),University
Tamil Nadu Agricultural University (TNAU),University
Bharathiar University,University
Avinashilingam Institute for Home Science and Higher Education for Women,University
Karunya Institute of Technology and Sciences,University
Coimbatore Medical College,Medical
PSG Institute of Medical Sciences & Research,Medical
Karpagam Faculty of Medical Sciences & Research,Medical
KMCH Institute of Health Sciences and Research,Medical
Government Arts College Coimbatore,Arts and Science
PSG College of Arts and Science,Arts and Science
Dr. G.R. Damodaran College of Science,Arts and Science
PSGR Krishnammal College for Women,Arts and Science
Nirmala College for Women,Arts and Science
CMS College of Science and Commerce,Arts and Science
Sri Ramakrishna College of Arts and Science,Arts and Science
RVS College of Arts and Science,Arts and Science
Hindusthan College of Arts and Science,Arts and Science
VLB Janakiammal College of Arts and Science,Arts and Science
Rathinam College of Arts and Science,Arts and Science
Kongunadu Arts and Science College,Arts and Science
Sankara College of Science and Commerce,Arts and Science
Dr. N.G.P. Arts and Science College,Arts and Science
S.N.M.V. College of Arts and Science,Arts and Science
PPG College of Arts and Science,Arts and Science
"Government Law College, Coimbatore",Law
"Government College of Education for Women, Coimbatore",B.Ed
CMS College of Education,B.Ed
RVS College of Education,B.Ed
Hindusthan College of Education,B.Ed
PSG Institute of Management,Management
Jansons School of Business,Management
Ganga Medical Centre and Hospital College of Nursing,Nursing
PSG College of Nursing,Nursing
KG College of Nursing,Nursing
KMCH College of Nursing,Nursing
Sri Ramakrishna College of Nursing,Nursing
RVS College of Nursing,Nursing
PPG College of Nursing,Nursing
Government Polytechnic College Coimbatore,Polytechnic
PSG Polytechnic College,Polytechnic
Sri Ramakrishna Polytechnic College,Polytechnic
Sankara Polytechnic College,Polytechnic
Pollachi College of Arts and Science,Arts and Science
"Government Arts and Science College, Pollachi",Arts and Science
"Government Arts and Science College, Mettupalayam",Arts and Science
"Government Arts and Science College, Thondamuthur",Arts and Science
"Government Arts and Science College, Valparai",Arts and Science
Karpagam Academy of Higher Education,University
"N.G.M. College (Nallamuthu Gounder Mahalingam), Pollachi",Arts and Science
S.N.R. Sons College (Now Sri Ramakrishna College),Arts and Science
