College Name,Category
"Annamalai University (Main Campus), Chidambaram",University
"Government Medical College Cuddalore (Rajah Muthiah), Chidambaram",Medical
"Government Dental College Annamalai University, Chidambaram",Medical
"C.K. College of Engineering and Technology, Cuddalore",Engineering
"Krishnasamy College of Engineering and Technology, S.Kumarapuram",Engineering
"M.R.K. Institute of Technology, Kattumannarkoil",Engineering
"St. Anne's College of Engineering and Technology, Panruti",Engineering
"IFET College of Engineering, Gangarampalayam (Cuddalore Border)",Engineering
"St. Joseph's College of Arts and Science (Autonomous), Cuddalore",Arts and Science
"Periyar Arts College, Cuddalore",Arts and Science
"Government Arts College, Chidambaram",Arts and Science
"Government Arts College, Virudhachalam",Arts and Science
"Jawahar Science College, Neyveli",Arts and Science
"Kandaswami Naidu College for Women, Cuddalore",Arts and Science
"Thiruvalluvar University Constituent College, Thittakudi",Arts and Science
"Thiruvalluvar University Constituent College, Panruti",Arts and Science
"Krishnasamy College of Science, Arts and Management for Women, Cuddalore",Arts and Science
"Vallalar College of Arts and Science, Neyveli",Arts and Science
"Rajah Muthiah College of Nursing, Chidambaram",Nursing
"Sister Margaret College of Nursing, Cuddalore",Nursing
"Annamalai University College of Education, Chidambaram",B.Ed
"Krishnasamy College of Education, Cuddalore",B.Ed
"St. Paul's College of Education, Cuddalore",B.Ed
"Government Polytechnic College, Cuddalore",Polytechnic
"Muthiah Polytechnic College, Chidambaram",Polytechnic
"Neyveli Lignite Corporation Polytechnic College (NLC), Neyveli",Polytechnic
"Panimalar Polytechnic College, Panruti",Polytechnic
Cuddalore District Co-operative Management Institute,Management
