College Name,Category
Government Dindigul Medical College,Medical
"Gandhigram Rural Institute (Deemed University), Gandhigram",University
"P.S.N.A. College of Engineering and Technology, Dindigul",Engineering
"S.S.M. Institute of Engineering and Technology, Dindigul",Engineering
"R.V.S. College of Engineering and Technology, Dindigul",Engineering
"Christian College of Engineering and Technology, Oddanchatram",Engineering
"Kodaikanal Institute of Technology, Kodaikanal",Engineering
"N.P.R. College of Engineering and Technology, Natham",Engineering
"M.V.M. Government Arts College for Women, Dindigul",Arts and Science
"G.T.N. Arts College (Autonomous), Dindigul",Arts and Science
"Mother Teresa Women's University, Kodaikanal",University
"Parvathy's Arts and Science College, Dindigul",Arts and Science
"R.V.S. College of Arts and Science, Dindigul",Arts and Science
"St. Antony's College of Arts and Sciences for Women, Thamaraipadi",Arts and Science
"Arulmigu Palaniandavar College of Arts and Culture, Palani",Arts and Science
"Government Arts and Science College, Nilakottai",Arts and Science
"Government Arts and Science College, Kodaikanal",Arts and Science
"Pannaikadu Veerammal Paramasivam (PVP) College, Dindigul",Arts and Science
Gandhigram Institute of Rural Health and Family Welfare Trust,Medical
"Christian College of Nursing, Oddanchatram",Nursing
"R.V.S. College of Nursing, Dindigul",Nursing
"Sakthi College of Education, Oddanchatram",B.Ed
"St. Peter's College of Education, Dindigul",B.Ed
"Christian Polytechnic College, Oddanchatram",Polytechnic
"Government Polytechnic College, Palani",Polytechnic
Dindigul District Co-operative Management Institute,Management
