College Name,Category
Government Erode Medical College (IRT Perundurai),Medical
"Kongu Engineering College (Autonomous), Perundurai",Engineering
"Bannari Amman Institute of Technology (Autonomous), Sathyamangalam",Engineering
"Velalar College of Engineering and Technology, Thindal",Engineering
"Nandha Engineering College (Autonomous), Erode",Engineering
"Sengunthar Engineering College, Tiruchengode (Erode Border Region)",Engineering
"J.K.K. Munirajah College of Technology, Gobichettipalayam",Engineering
"Surya Engineering College, Erode",Engineering
"Erode Sengunthar Engineering College, Thudupathi",Engineering
"M.P.Nachimuthu M.Jaganathan Engineering College, Chennimalai",Engineering
"Erode Arts and Science College (Autonomous), Erode",Arts and Science
"Vellalar College for Women (Autonomous), Erode",Arts and Science
"Gobi Arts and Science College (Autonomous), Gobichettipalayam",Arts and Science
"Kongu Arts and Science College (Autonomous), Nanjanapuram",Arts and Science
"Nandha Arts and Science College, Erode",Arts and Science
"C.N. College, Erode",Arts and Science
"Chikkaiah Naicker College, Erode",Arts and Science
"Government Arts and Science College, Sathyamangalam",Arts and Science
"Government Arts and Science College, Modakkurichi",Arts and Science
"Bharathidasan College of Arts and Science, Erode",Arts and Science
"PKR Arts College for Women, Gobichettipalayam",Arts and Science
"Government Polytechnic College, Perundurai",Polytechnic
"Kongu Polytechnic College, Perundurai",Polytechnic
"Nandha Polytechnic College, Erode",Polytechnic
"Vellalar Polytechnic College, Erode",Polytechnic
"Vellalar College of Education for Women, Erode",B.Ed
"Kongu College of Education, Erode",B.Ed
"Nandha College of Nursing, Erode",Nursing
"Vellalar College of Nursing, Erode",Nursing
Govt. Perundurai Medical College - College of Nursing,Nursing
"Nandha College of Pharmacy, Erode",Paramedical
"J.K.K. Nattraja College of Pharmacy, Komarapalayam (Erode boundary)",Paramedical
