College Name,Category
Government Medical College Kallakurichi,Medical
"AKT Memorial College of Engineering and Technology, Neelamangalam",Engineering
"Maha Barathi Engineering College, Vasudevanur",Engineering
"Annamalaiyar College of Engineering, Modaiyur",Engineering
"Bharat Ratna Dr. B.R. Ambedkar Institute of Technology, Kallakurichi",Engineering
"AKT Memorial Arts and Science College, Neelamangalam",Arts and Science
"Bharathi College of Arts and Science for Women, Thalaivasal (Kallakurichi Border)",Arts and Science
"Dr. R.K.S. College of Arts and Science, Indili",Arts and Science
"Thiruvalluvar University Constituent College of Arts and Science, Kallakurichi",Arts and Science
"Government Arts and Science College, Rishivandiyam",Arts and Science
"Srimathi Malathi College of Arts and Science for Women, Kallakurichi",Arts and Science
"Government Polytechnic College, Sankarapuram",Polytechnic
"Muruga Polytechnic College, Kallakurichi",Polytechnic
"AKT Memorial Polytechnic College, Neelamangalam",Polytechnic
"Bharathi College of Education, Kallakurichi",B.Ed
"AKT Memorial College of Education, Neelamangalam",B.Ed
"Dr. R.K.S. College of Education, Indili",B.Ed
"J.K. College of Nursing and Paramedicals, Kallakurichi",Nursing
"Sri Sarada College of Nursing, Kallakurichi",Nursing
"Government Polytechnic College, Rishivandiyam",Polytechnic
