College Name,Category
Meenakshi Medical College Hospital and Research Institute,Medical
"Sri Venkateswara College of Engineering (SVCE), Sriperumbudur",Engineering
"Rajalakshmi Engineering College (REC), Thandalam",Engineering
"Saveetha Engineering College, Thandalam",Engineering
"Panimalar Engineering College, Varadharajapuram",Engineering
"Jeppiaar Institute of Technology, Kunnam",Engineering
"Sri Muthukumaran Institute of Technology, Chikkarayapuram",Engineering
"Lord Venkateshwaraa Engineering College, Kanchipuram",Engineering
"Adhi College of Engineering and Technology, Kanchipuram",Engineering
"Pallavan College of Engineering, Kanchipuram",Engineering
Kanchipuram Meenakshi Medical College - College of Nursing,Nursing
"Pachaiyappa's College for Men, Kanchipuram",Arts and Science
"Pachaiyappa's College for Women, Kanchipuram",Arts and Science
"Arignar Anna Government Arts College, Kanchipuram",Arts and Science
"Government Arts and Science College, Uthiramerur",Arts and Science
"Kanchi Shri Krishna College of Arts and Science, Kilambi",Arts and Science
"Annai Therasa Arts and Science College, Mangalam",Arts and Science
"S.S.K.V. College of Arts and Science for Women, Kanchipuram",Arts and Science
"Bhakthavatsalam Memorial College for Women, Kanchipuram",Arts and Science
"Sri Sankara Arts and Science College, Enathur",Arts and Science
"Kanchi University (SCSVMV University), Enathur",University
"Government Polytechnic College, Kanchipuram",Polytechnic
"Pallavan Polytechnic College, Kanchipuram",Polytechnic
"Sri Sairam Polytechnic College, West Tambaram (Kanchipuram Region)",Polytechnic
"Saveetha College of Education, Thandalam",B.Ed
"Arignar Anna Government Law College, Kanchipuram",Law
"National Institute of Technology (NIT) Campus (Proposed/Transit), Kanchipuram",University
"Indian Institute of Information Technology Design and Manufacturing (IIITDM), Kancheepuram",University
