College Name,Category
Kanyakumari Government Medical College,Medical
"Noorul Islam Centre for Higher Education (NIU), Kumaracoil",University
"Scott Christian College (Autonomous), Nagercoil",Arts and Science
"South Thamaraikulam Hindu College (ST Hindu College), Nagercoil",Arts and Science
"Holy Cross College (Autonomous), Nagercoil",Arts and Science
"Women's Christian College (WCC), Nagercoil",Arts and Science
"Sree Devi Kumari Women's College, Kuzhithurai",Arts and Science
"Lekshmipuram College of Arts and Science, Neyyoor",Arts and Science
"Pioneer Kumaraswamy College, Nagercoil",Arts and Science
"Arignar Anna College, Aralvaimozhi",Arts and Science
"Vivekananda College, Agasteeswaram",Arts and Science
"Nanjil Catholic College of Arts and Science, Kaliyakkavilai",Arts and Science
"Sree Ayyappa College for Women, Chunkankadai",Arts and Science
"Malankara Catholic College, Mariagiri",Arts and Science
"Government Arts and Science College, Kanyakumari",Arts and Science
"University College of Engineering (Anna University), Konam",Engineering
"Government College of Engineering, Konam",Engineering
"C.S.I. Institute of Technology, Thovalai",Engineering
"Sun College of Engineering and Technology, Erachakulam",Engineering
"Ponjesly College of Engineering, Nagercoil",Engineering
"Mar Ephraem College of Engineering and Technology, Elavuvilai",Engineering
"Loyola Institute of Technology and Science (LITES), Thovalai",Engineering
"Arunachala College of Engineering for Women, Vellichanthai",Engineering
"Vins Christian College of Engineering, Chunkankadai",Engineering
"Bethlahem Institute of Engineering, Karungal",Engineering
"Government Polytechnic College, Nagercoil",Polytechnic
"Morning Star Polytechnic College, Chunkankadai",Polytechnic
"N.M.S.S.V.N. Polytechnic College, Nagercoil",Polytechnic
"Sree Devi Kumari Polytechnic College, Kuzhithurai",Polytechnic
"Bethlahem College of Education, Karungal",B.Ed
"N.V.K.S.D. College of Education, Attoor",B.Ed
"Nanjil Catholic College of Education, Kaliyakkavilai",B.Ed
"Bishop Agniswamy College of Education, Muttom",B.Ed
"White Memorial College of Nursing, Attoor",Nursing
Kanyakumari Medical College - College of Nursing,Nursing
"Annan College of Nursing, Nagercoil",Nursing
