College Name,Category
Government Medical College Karur,Medical
"M. Kumarasamy College of Engineering (Autonomous), Thalavapalayam",Engineering
"V.S.B. Engineering College, Karur",Engineering
"Chettinad College of Engineering and Technology, Karur",Engineering
"N.S.N. College of Engineering and Technology, Karur",Engineering
"Government Arts College, Karur",Arts and Science
"Government Arts and Science College, Kulithalai",Arts and Science
"Valluvar College of Science and Management, Karur",Arts and Science
"Cheran College for Women, Karur",Arts and Science
"Kongu Arts and Science College, Karur",Arts and Science
"Arulmurugan College of Arts and Science, Karur",Arts and Science
"Government Polytechnic College, Karur",Polytechnic
"Karur Polytechnic College, Karur",Polytechnic
"Arulmurugan Polytechnic College, Karur",Polytechnic
"V.J.P. College of Education, Karur",B.Ed
"Karur College of Education, Karur",B.Ed
"Ponmari College of Education, Karur",B.Ed
"Cheran School of Nursing, Karur",Nursing
