College Name,Category
Government Krishnagiri Medical College,Medical
"Adhiyamaan College of Engineering (Autonomous), Hosur",Engineering
"Government College of Engineering, Bargur",Engineering
"Er. Perumal Manimekalai College of Engineering, Hosur",Engineering
"P.M.V. Engineering College, Hosur",Engineering
"Hosur Institute of Technology and Science, Hosur",Engineering
"Government Arts College for Men, Krishnagiri",Arts and Science
"Government Arts College for Women, Krishnagiri",Arts and Science
"Government Arts and Science College, Hosur",Arts and Science
"M.G.R. College of Arts and Science, Hosur",Arts and Science
"St. Joseph's College of Arts and Science for Women, Hosur",Arts and Science
"Gonzaga College of Arts and Science for Women, Elathagiri",Arts and Science
"Arignar Anna College (Arts & Science), Krishnagiri",Arts and Science
"Sivagamiammal College of Arts and Science, Krishnagiri",Arts and Science
"Government Polytechnic College, Krishnagiri",Polytechnic
"Government Polytechnic College, Hosur",Polytechnic
"Adhiyamaan Polytechnic College, Hosur",Polytechnic
"Er. Perumal Manimekalai Polytechnic College, Hosur",Polytechnic
"Government Polytechnic College, Bargur",Polytechnic
"Government Polytechnic College, Uthangarai",Polytechnic
"St. Peter's College of Education, Kaveripattinam",B.Ed
"Adhiyamaan College of Education, Hosur",B.Ed
"Gonzaga College of Education, Elathagiri",B.Ed
"Krishnagiri College of Nursing, Krishnagiri",Nursing
"Vivekananda College of Nursing, Krishnagiri",Nursing
