College Name,Category
Madurai Medical College,Medical
Madurai Kamaraj University,University
"Thiagarajar College of Engineering (TCE), Thirupparankundram",Engineering
"Velammal College of Engineering and Technology, Viraganoor",Engineering
"K.L.N. College of Engineering, Pottapalayam (Madurai Border)",Engineering
"Latha Mathavan Engineering College, Kidaripatti",Engineering
"SACS M.A.V.M.M. Engineering College, Kidaripatti",Engineering
"Ultra College of Engineering and Technology, Madurai",Engineering
"Vickram College of Engineering, Enathi",Engineering
"P.T.R. College of Engineering and Technology, Austinpatti",Engineering
"The American College, Madurai",Arts and Science
"Lady Doak College, Madurai",Arts and Science
"Fatima College, Madurai",Arts and Science
"Madura College, Madurai",Arts and Science
"Thiagarajar College, Madurai",Arts and Science
"Sourashtra College, Madurai",Arts and Science
"Yadava College, Madurai",Arts and Science
"M.S.S. Wakf Board College, Madurai",Arts and Science
"Meenakshi Government Arts College for Women, Madurai",Arts and Science
"Sri Meenakshi Government Arts College for Women, Madurai",Arts and Science
"E.M.G. Yadava Women's College, Madurai",Arts and Science
"Senthamil Arts College, Madurai",Arts and Science
"Subbalakshmi Lakshmipathy College of Science, Madurai",Arts and Science
"Agricultural College and Research Institute (AC&RI), Madurai",Agriculture
"Tamil Nadu Physical Education and Sports University (Regional Centre), Madurai",University
"Government Law College, Madurai",Law
Madurai Medical College - College of Nursing,Nursing
"Aravind Eye Care System - College of Nursing, Madurai",Nursing
"Velammal College of Nursing, Madurai",Nursing
"Sacred Heart Nursing College, Madurai",Nursing
"Thiagarajar School of Management (TSM), Pamban Swamy Nagar",Management
"Tamil Nadu Polytechnic College, Madurai",Polytechnic
"Arul Anandar College, Karumathur",Arts and Science
"S.Vellaichamy Nadar College, Madurai",Arts and Science
"St. Justin's College of Education, Madurai",B.Ed
"Thiagarajar College of Preceptors, Madurai",B.Ed
