College Name,Category
"A.V.C. College (Autonomous), Mannampandal",Arts and Science
"A.V.C. College of Engineering, Mannampandal",Engineering
"Dharmapuram Adhinam Arts College, Mayiladuthurai",Arts and Science
"Gnanambigai Government Arts College for Women, Mayiladuthurai",Arts and Science
"Poompuhar College, Melaiyur",Arts and Science
"Best Arts and Science College, Sirkazhi",Arts and Science
"Sembanarkoil Arts and Science College, Sembanarkoil",Arts and Science
"Vivekananda College of Arts and Science for Women, Sirkazhi",Arts and Science
"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthurai",Arts and Science
"A.V.C. Polytechnic College, Mannampandal",Polytechnic
"Srinivasa Subbaraya Polytechnic College, Puttur",Polytechnic
"Annai College of Education, Mayiladuthurai",B.Ed
"Dharmapuram Adhinam College of Education, Mayiladuthurai",B.Ed
"St. Theresa's College of Education, Mayiladuthurai",B.Ed
