College Name,Category
Government Nagapattinam Medical College,Medical
"E.G.S. Pillay Engineering College, Nagapattinam",Engineering
"Sir Issac Newton College of Engineering and Technology, Pappakovil",Engineering
"A.D.M. College for Women, Nagapattinam",Arts and Science
"E.G.S. Pillay Arts and Science College, Nagapattinam",Arts and Science
"Government Arts and Science College, Nagapattinam",Arts and Science
"Government Arts and Science College, Vedaranyam",Arts and Science
"S.K.S.S. Arts College, Tiruppanandal",Arts and Science
"Nethaji Subash Chandra Bose Arts and Science College, Nagapattinam",Arts and Science
"Valivalam Desikar Polytechnic College, Nagapattinam",Polytechnic
"Sir Issac Newton Polytechnic College, Nagapattinam",Polytechnic
"E.G.S. Pillay Polytechnic College, Nagapattinam",Polytechnic
"E.G.S. Pillay College of Nursing, Nagapattinam",Nursing
"Sir Issac Newton College of Nursing, Nagapattinam",Nursing
"E.G.S. Pillay College of Education, Nagapattinam",B.Ed
"Sir Issac Newton College of Education, Nagapattinam",B.Ed
"T.A.M.S. College of Education, Nagapattinam",B.Ed
"Fisheries College and Research Institute (TNJFU), Nagapattinam",Fisheries
"Tamil Nadu Dr. J. Jayalalithaa Fisheries University, Nagapattinam",University
