College Name,Category
Namakkal Government Medical College,Medical
"K.S. Rangasamy College of Technology (KSRCT), Tiruchengode",Engineering
"K.S.R. College of Engineering, Tiruchengode",Engineering
"Excel Engineering College, Komarapalayam",Engineering
"Mahendra Engineering College, Mallasamudram",Engineering
"Muthayammal Engineering College, Rasipuram",Engineering
"Vivekanandha College of Engineering for Women, Tiruchengode",Engineering
"Paavai Engineering College, Pachal",Engineering
"Gnanamani College of Technology, Pachal",Engineering
"Sengunthar Engineering College, Tiruchengode",Engineering
"Mahendra Institute of Technology, Namakkal",Engineering
"J.K.K. Nataraja College of Engineering and Technology, Komarapalayam",Engineering
"K.S. Rangasamy College of Arts and Science, Tiruchengode",Arts and Science
"Vivekanandha College of Arts and Sciences for Women, Tiruchengode",Arts and Science
"Muthayammal College of Arts and Science, Rasipuram",Arts and Science
"Namakkal Kavignar Ramalingam Government Arts College for Women, Namakkal",Arts and Science
"Arignar Anna Government Arts College, Namakkal",Arts and Science
"Selvam Arts and Science College, Namakkal",Arts and Science
"Trinity College for Women, Namakkal",Arts and Science
"J.K.K. Nataraja Dental College and Hospital, Komarapalayam",Medical
"K.S.R. Institute of Dental Science and Research, Tiruchengode",Medical
"Vivekanandha College of Nursing, Tiruchengode",Nursing
"Dhanvantri College of Nursing, Namakkal",Nursing
"Annai College of Nursing, Namakkal",Nursing
"K.S.R. Polytechnic College, Tiruchengode",Polytechnic
"Excel Polytechnic College, Komarapalayam",Polytechnic
"Muthayammal Polytechnic College, Rasipuram",Polytechnic
"Mahendra Polytechnic College, Namakkal",Polytechnic
"K.S.R. College of Education, Tiruchengode",B.Ed
"Vivekanandha College of Education, Tiruchengode",B.Ed
"Paavai College of Education, Namakkal",B.Ed
"Veterinary College and Research Institute (VCRI), Namakkal",Veterinary
"PGP College of Engineering and Technology, Namakkal",Engineering
"PGP College of Arts and Science, Namakkal",Arts and Science
