College Name,Category
"Government Medical College, Pudukkottai",Medical
"Agricultural College and Research Institute (AC&RI TNAU), Kudumiyanmalai",Agriculture
"Government Law College, Pudukkottai",Law
"Chendhuran College of Engineering and Technology, Thirumayam",Engineering
"Kings College of Engineering, Punalkulam",Engineering
"Mookambigai College of Engineering, Keeranur",Engineering
"Mount Zion College of Engineering and Technology, Lena Vilakku",Engineering
"Sudharsan Engineering College, Sathiyamangalam",Engineering
"Shanmuganathan Engineering College, Aranthangi",Engineering
"Mahath Amma Institute of Engineering and Technology, Annavasal",Engineering
"M.N.S.K. College of Engineering, Pudukkottai",Engineering
"Sri Bharathi Engineering College for Women, Kaikkurichi",Engineering
"H.H. The Rajah's College, Pudukkottai",Arts and Science
"J.J. College of Arts and Science, Sivapuram",Arts and Science
"Government Arts College for Women, Pudukkottai",Arts and Science
"Arputha College of Arts and Science, Vamban (Illuppur)",Arts and Science
"Naina Mohamed College of Arts and Science, Aranthangi",Arts and Science
"Sudharsan College of Arts and Science, Perumanadu",Arts and Science
"Government Arts and Science College, Alangudi",Arts and Science
"Government Arts and Science College, Karambakkudi",Arts and Science
"Auxilium College of Arts and Science for Women, Regunathapuram",Arts and Science
"Meenakshi Chandrasekaran College of Arts and Science, Karambakkudi",Arts and Science
"Mount Zion College of Nursing, Lena Vilakku",Nursing
Government Pudukkottai Medical College - College of Nursing,Nursing
"Keeranur College of Nursing, Keeranur",Nursing
"Government Polytechnic College, Aranthangi",Polytechnic
"Sudharsan Polytechnic College, Sathiyamangalam",Polytechnic
"Sri Bharathi Polytechnic College for Women, Kaikkurichi",Polytechnic
"Mount Zion College of Education, Pudukkottai",B.Ed
"Mother Teresa College of Education, Illuppur",B.Ed
"S.B. College of Education, Aranthangi",B.Ed
