College Name,Category
"Government Medical College, Ramanathapuram",Medical
"Government Law College, Ramanathapuram",Law
"Syed Ammal Engineering College, Ramanathapuram",Engineering
"Mohamed Sathak Engineering College, Kilakarai",Engineering
"University College of Engineering, Ramanathapuram",Engineering
"Sethupathy Government Arts College, Ramanathapuram",Arts and Science
"Caussanel College of Arts and Science, Muthupettai",Arts and Science
"Syed Ammal Arts and Science College, Ramanathapuram",Arts and Science
"Thassim Beevi Abdul Kader College for Women, Kilakarai",Arts and Science
"P.T.M.T.M. College (Pasumpon Thiru Muthuramalinga Thevar Memorial College), Kamuthi",Arts and Science
"Sonai Meenal Arts and Science College, Mudukulathur",Arts and Science
"Government Arts and Science College, Paramakudi",Arts and Science
"Government Arts and Science College, Thiruvadanai",Arts and Science
"Government Arts and Science College, Kadaladi",Arts and Science
"Government Arts and Science College, Rameswaram",Arts and Science
"Alagappa University Evening College, Paramakudi",Arts and Science
"Mohamed Sathak Hamid College of Arts and Science for Women, Ramanathapuram",Arts and Science
Ramanathapuram Government Medical College - College of Nursing,Nursing
"Pioneer College of Nursing, Ramanathapuram",Nursing
"Mohamed Sathak Polytechnic College, Kilakarai",Polytechnic
"Sri Muthalamman Polytechnic College, Paramakudi",Polytechnic
Ramanathapuram District Co-operative Management Institute,Management
"Syed Ammal College of Education, Ramanathapuram",B.Ed
"Thassim Beevi Abdul Kader College of Education, Kilakarai",B.Ed
"Ganapathy College of Education, Paramakudi",B.Ed
