College Name,Category
"C. Abdul Hakeem College of Engineering and Technology, Melvisharam",Engineering
"Global Institute of Engineering and Technology, Melvisharam",Engineering
"Ranipet Engineering College, Thenkadappanthangal",Engineering
"Arignar Anna Government Arts College, Walajapet",Arts and Science
"C. Abdul Hakeem College (Autonomous), Melvisharam",Arts and Science
"Arcot Sri Mahalakshmi Women's College, Villapakkam",Arts and Science
"Arakkonam Arts and Science College, Arakkonam",Arts and Science
"Thiruvalluvar University Constituent College of Arts and Science, Arakkonam",Arts and Science
"Government Arts and Science College, Nemili",Arts and Science
"Government Polytechnic College, Arakkonam",Polytechnic
"Scudder Memorial Hospital College of Nursing, Ranipet",Nursing
"Arcot Sri Mahalakshmi College of Education, Villapakkam",B.Ed
"Arcot Sri Mahalakshmi College of Nursing, Villapakkam",Nursing
