College Name,Category
"Alagappa University (Autonomous), Karaikudi",University
"Central Electro Chemical Research Institute (CSIR-CECRI), Karaikudi",Engineering
"Government Sivaganga Medical College and Hospital, Sivaganga",Medical
"Alagappa Chettiar Government College of Engineering and Technology (ACGCET), Karaikudi",Engineering
"Pandian Saraswathi Yadav Engineering College (PSYEC), Arasanoor",Engineering
"K.L.N. College of Engineering, Pottapalayam",Engineering
"K.L.N. College of Information Technology, Pottapalayam",Engineering
"St. Michael College of Engineering and Technology, Kalayarkoil",Engineering
"Sri Raaja Raajan College of Engineering and Technology, Amaravathipudur",Engineering
"Raja Doraisingam Government Arts College, Sivaganga",Arts and Science
"Alagappa Government Arts College, Karaikudi",Arts and Science
"V.S. Sivalingam Government Arts College, Pulankurichi",Arts and Science
"Arumugam Pillai Seethai Ammal College, Tiruppattur (Sivaganga)",Arts and Science
"Idhaya College for Women, Sarugani",Arts and Science
"Ananda College, Devakottai",Arts and Science
"Seethalakshmi Achi College for Women, Pallathur",Arts and Science
"Sri Sarada Niketan College of Science for Women, Amaravathipudur",Arts and Science
"Government Sivaganga Medical College - College of Nursing, Sivaganga",Nursing
"Chidambaram College of Nursing, Sivaganga",Nursing
"Alagappa University College of Education, Karaikudi",B.Ed
"Sri Raaja Raajan College of Education for Women, Amaravathipudur",B.Ed
"K.L.N. Vidyalaya College of Education, Pottapalayam",B.Ed
"Alagappa Polytechnic College, Karaikudi",Polytechnic
"K.L.N. Polytechnic College, Pottapalayam",Polytechnic
"Pandian Saraswathi Yadav Polytechnic College, Arasanoor",Polytechnic
"S.P.T. Polytechnic College, Sivaganga",Polytechnic
"Ramar Polytechnic College, Kalayarkoil",Polytechnic
