College Name,Category
"Sardar Raja College of Engineering, Alangulam",Engineering
"J.P. College of Engineering, Ayikudy",Engineering
"S. Veerasamy Chettiar College of Engineering and Technology, Puliangudi",Engineering
"Mahakavi Bharathiyar College of Engineering and Technology, Vasudevanallur",Engineering
"S. Thangapazham Agricultural College (STAC), Vasudevanallur",Agriculture
"S. Thangapazham Medical College of Naturopathy and Yogic Science, Vasudevanallur",Medical
"Sri Parasakthi College for Women (Autonomous), Courtallam",Arts and Science
"Sri Ram Nallamani Yadava College of Arts and Science, Tenkasi",Arts and Science
"Sri Vyasa Arts and Science College, Vadakarai",Arts and Science
"J.P. College of Arts and Science, Ayikudy",Arts and Science
"Government Arts and Science College, Kadayanallur",Arts and Science
"Government Arts and Science College, Sankarankovil",Arts and Science
"S. Thirumalai Kumarasamy Arts and Science College, Courtallam",Arts and Science
"Pasumpon Muthuramalinga Thevar College, Melaneelithanallur",Arts and Science
"Sardar Raja Arts and Science College, Alangulam",Arts and Science
"Govi. Arts and Science College, Surandai",Arts and Science
"M.S.P. Velayutham Nadar Polytechnic College, Pavoorchatram",Polytechnic
"V.K.P. Polytechnic College, Sankarankovil",Polytechnic
"Greeno Polytechnic College, Alangulam",Polytechnic
"S. S. Polytechnic College, Alangulam",Polytechnic
"T.P.M. Polytechnic College, Sankarankovil",Polytechnic
"Sri Ram Nallamani Yadava College of Pharmacy, Tenkasi",Paramedical
"Matha College of Nursing, Alangulam",Nursing
"Sri Ram Nallamani Yadava College of Education, Tenkasi",B.Ed
"J.P. College of Education, Ayikudy",B.Ed
"Sri Parasakthi College of Education for Women, Courtallam",B.Ed
