College Name,Category
"National Institute of Food Technology Entrepreneurship and Management (NIFTEM), Thanjavur",University
"Periyar Maniammai Institute of Science & Technology (PMIST), Vallam",University
"Ponnaiyah Ramajayam Institute of Science and Technology (PRIST), Vallam",University
"Shanmugha Arts Science Technology and Research Academy (SASTRA), Thirumalaisamudram",University
"Tamil University, Thanjavur",University
"Veterinary College and Research Institute (TANUVAS), Orathanadu",Veterinary
"Dr. M. S. Swaminathan Agricultural College and Research Institute (TNAU), Eachangottai",Agriculture
"Thanjavur Medical College (TMC), Thanjavur",Medical
"Annai Medical College of Siddha and Research Centre, Kumbakonam",Medical
"Government Yoga and Naturopathy Medical College, Thanjavur",Medical
"Government College of Engineering, Sengipatti",Engineering
"University College of Engineering (Anna University), Pattukkottai",Engineering
"KSK College of Engineering & Technology, Kumbakonam",Engineering
"St. Joseph's College of Engineering & Technology (DMI), Thanjavur",Engineering
"Annai College of Engineering and Technology (ACET), Kumbakonam",Engineering
"Arasu Engineering College (AEC), Kumbakonam",Engineering
"Parisutham Institute of Technology & Science (PITS), Thanjavur",Engineering
"Star Lion College of Engineering and Technology, Thanjavur",Engineering
"P.R. Engineering College, Vallam",Engineering
"Vandayar Engineering College, Thanjavur",Engineering
"As-salam College of Engineering and Technology, Aduthurai",Engineering
"Kunthavai Naacchiyaar Government Arts College for Women, Thanjavur",Arts and Science
"Rajah Serfoji Government College, Thanjavur",Arts and Science
"A.V.V.M. Sri Pushpam College, Poondi",Arts and Science
"Government College for Women, Kumbakonam",Arts and Science
"Government Arts College, Kumbakonam",Arts and Science
"Khadir Mohideen College, Adirampattinam",Arts and Science
"T.U.K. Arts College (Karanthai Tamil Sangam), Thanjavur",Arts and Science
"Dharmambal Ramasamy Arts and Science College, Thanjavur",Arts and Science
"Enathi Rajappa College of Arts and Science, Pattukkottai",Arts and Science
"Meenakshi Chandrasekaran College of Arts and Science, Pattukkottai",Arts and Science
"Rajagiri Dawood Batcha College of Arts and Science, Papanasam",Arts and Science
"Adaikkala Madha College of Arts and Science, Vallam",Arts and Science
"Bon Secours College for Women, Thanjavur",Arts and Science
"Marudupandiyar College of Arts and Science, Thanjavur",Arts and Science
"Sami Arul College of Arts and Science, Vallam",Arts and Science
"Annai Vailankanni Arts and Science College, Thanjavur",Arts and Science
"Idhaya College for Women, Kumbakonam",Arts and Science
"Swami Vivekananda Arts and Science College, Vallam",Arts and Science
"Bharath College of Science and Management, Thanjavur",Arts and Science
"Sri Venkateshwara College of Arts and Science, Peravurani",Arts and Science
"Government Arts and Science College, Peravurani",Arts and Science
"Government College of Fine Arts, Kumbakonam",Arts and Science
"Rajah's College of Sanskrit and Tamil Studies, Thiruvaiyaru",Arts and Science
"Indian Institute of Catering Technology and Hotel Management, Thanjavur",Catering & Hotel Management
"Thanjavur Medical College - College of Nursing, Thanjavur",Nursing
"Mannai Narayanasamy College of Nursing, Thanjavur",Nursing
"Our Lady of Health School and College of Nursing, Thanjavur",Nursing
"St. Xavier School and College of Nursing, Kumbakonam",Nursing
"Kamala Subramaniam College of Nursing, Thanjavur",Nursing
"Ramya Sathianathan College of Education, Thanjavur",B.Ed
"Bon Secours College of Education, Thanjavur",B.Ed
"Ramya Sathianathan Polytechnic College, Thanjavur",Polytechnic
"Manali Ramakrishna Polytechnic College, Thanjavur",Polytechnic
"Shanmuga Polytechnic College, Thanjavur",Polytechnic
"Periyar Centenary Polytechnic College, Vallam",Polytechnic
"Government Polytechnic College, Kumbakonam",Polytechnic
