College Name,Category
"Government Theni Medical College, Theni",Medical
"Bharath Niketan Engineering College, Aundipatty",Engineering
"Theni Kammavar Sangam College of Technology, Theni",Engineering
"Odaiyappa College of Engineering and Technology, Theni",Engineering
"Nadar Saraswathi College of Engineering and Technology, Theni",Engineering
"Jayaraj Annapackiam College for Women (Autonomous), Periyakulam",Arts and Science
"Hajee Karutha Rowther Howdia College (Autonomous), Uthamapalayam",Arts and Science
"Nadar Saraswathi College of Arts and Science, Theni",Arts and Science
"Cardamom Planter's Association (CPA) College, Bodinayakanur",Arts and Science
"Mary Matha College of Arts and Science, Periyakulam",Arts and Science
"Sri Adi Chunchanagiri Women's College, Cumbum",Arts and Science
"Government Arts and Science College, Veerapandi (Theni)",Arts and Science
"Nadar Saraswathi College of Education, Theni",B.Ed
"St. Anne's College of Education for Women, Periyakulam",B.Ed
"Theni Kammavar Sangam College of Education, Theni",B.Ed
"CPA College of Education, Bodinayakanur",B.Ed
"Theni Medical College - College of Nursing, Theni",Nursing
"Govindammal College of Nursing, Theni",Nursing
"Theni Kammavar Sangam Polytechnic College, Theni",Polytechnic
"CPA Polytechnic College, Bodinayakanur",Polytechnic
"Annai Polytechnic College, Veerapandi (Theni)",Polytechnic
