College Name,Category
"Thoothukudi Medical College (Government), Thoothukudi",Medical
"Fisheries College and Research Institute (FCRI), Thoothukudi",Fisheries
"Agricultural College and Research Institute (AC&RI), Killikulam",Agriculture
"University College of Engineering (UCE), Thoothukudi",Engineering
"National Engineering College (NEC), Kovilpatti",Engineering
"Dr. Sivanthi Aditanar College of Engineering, Tiruchendur",Engineering
"Chandy College of Engineering, Thoothukudi",Engineering
"Infant Jesus College of Engineering, Keela Vallanadu",Engineering
"Holy Cross Engineering College, Thoothukudi",Engineering
"Unnamalai Institute of Technology, Kovilpatti",Engineering
"St. Mother Theresa Engineering College, Vagaikulam",Engineering
"Jayaraj Annapackiam CSI College of Engineering, Nazareth",Engineering
"V.O. Chidambaram College (VOC College), Thoothukudi",Arts and Science
"St. Mary's College (Autonomous), Thoothukudi",Arts and Science
"A.P.C. Mahalaxmi College for Women, Thoothukudi",Arts and Science
"Kamaraj College, Thoothukudi",Arts and Science
"G. Venkataswamy Naidu College (GVN), Kovilpatti",Arts and Science
"K.R. College of Arts and Science, Kovilpatti",Arts and Science
"Aditanar College of Arts and Science, Tiruchendur",Arts and Science
"Govindammal Aditanar College for Women, Tiruchendur",Arts and Science
"Sri K.G.S. Arts College, Srivaikuntam",Arts and Science
"Nazareth Margoschis College, Pillaiyanmanai (Nazareth)",Arts and Science
"Pope's College, Sawyerpuram",Arts and Science
"Holy Cross Home Science College, Thoothukudi",Arts and Science
Thoothukudi Medical College - College of Nursing,Nursing
"St. Ann's College of Nursing, Thoothukudi",Nursing
"V.O.C. College of Education, Thoothukudi",B.Ed
"Chandy College of Education, Thoothukudi",B.Ed
"Sivanthi Aditanar College of Education, Tiruchendur",B.Ed
"Rev. John Thomas College of Education, Megnanapuram",B.Ed
"Dr. G.U. Pope College of Education, Sawyerpuram",B.Ed
"Government Polytechnic College, Thoothukudi",Polytechnic
"Lakshmi Ammal Polytechnic College, Kovilpatti",Polytechnic
