College Name,Category
National Institute of Technology Tiruchirappalli (NIT Trichy),University
Indian Institute of Management Tiruchirappalli (IIM Trichy),Management
Indian Institute of Information Technology Tiruchirappalli (IIIT Srirangam),Engineering
Bharathidasan University,University
"Tamil Nadu National Law University (TNNLU), Navalurkuttappattu",Law
"K.A.P. Viswanatham Government Medical College, Trichy",Medical
"Anbil Dharmalingam Agricultural College and Research Institute (ADAC&RI), Navalurkuttappattu",Agriculture
"Horticultural College and Research Institute for Women (HC&RIW), Navalurkuttappattu",Agriculture
"Veterinary College and Research Institute (TANUVAS), Ramji Nagar",Veterinary
"Government Law College, Tiruchirappalli",Law
"SRM Medical College Hospital and Research Centre, Irungalur",Medical
"Government College of Engineering, Srirangam",Engineering
"University College of Engineering (BIT Campus Anna University), Tiruchirappalli",Engineering
"Saranathan College of Engineering, Panjappur",Engineering
"K. Ramakrishnan College of Engineering, Samayapuram",Engineering
"K. Ramakrishnan College of Technology, Samayapuram",Engineering
"J.J. College of Engineering and Technology, Ammapettai",Engineering
"M.A.M. College of Engineering, Siruganur",Engineering
"M.I.E.T. Engineering College, Gundur",Engineering
"Shivani Engineering College, Navalurkuttappattu",Engineering
"Kongunadu College of Engineering and Technology, Thottiam",Engineering
"CARE College of Engineering, Thayanoor",Engineering
"Oxford Engineering College, Pirattiyur",Engineering
"TRP Engineering College, Irungalur",Engineering
"St. Joseph's College (Autonomous), Trichy",Arts and Science
"National College, Trichy",Arts and Science
"Bishop Heber College (Autonomous), Trichy",Arts and Science
"Holy Cross College (Autonomous), Trichy",Arts and Science
"Jamal Mohamed College (Autonomous), Trichy",Arts and Science
"Cauvery College for Women, Trichy",Arts and Science
"Urumu Dhanalakshmi College, Kattur",Arts and Science
"Srimad Andavan Arts and Science College, Thiruvanaikoil",Arts and Science
"Seethalakshmi Ramaswami College, Trichy",Arts and Science
"E.V.R. Periyar Government Arts College, Trichy",Arts and Science
"AIMAN College of Arts and Science for Women, Trichy",Arts and Science
"Shrimati Indira Gandhi College, Trichy",Arts and Science
"Government Arts College, Thiruverumbur",Arts and Science
K.A.P. Viswanatham Government Medical College - College of Nursing,Nursing
"Servite College of Nursing, Edamalaipatti Pudur",Nursing
"Indira Ganesan College of Nursing, Manikandam",Nursing
"Child Jesus College of Nursing, Trichy",Nursing
"Seshasayee Institute of Technology, Ariyamangalam",Polytechnic
"M.I.E.T. Polytechnic College, Gundur",Polytechnic
"Institute of Hotel Management Catering Technology and Applied Nutrition (IHM), Thuvakkudi",Catering & Hotel Management
"Holy Cross College of Education, Trichy",B.Ed
"J.J. College of Education, Ammapettai",B.Ed
"K. Ramakrishnan College of Education, Samayapuram",B.Ed
"Indira Ganesan College of Education, Manikandam",B.Ed
