College Name,Category
"Manonmaniam Sundaranar University, Abishekapatti",University
"Tirunelveli Medical College (Government), Super Nagar",Medical
"Government Siddha Medical College, Palayamkottai",Medical
"Government College of Engineering, Tirunelveli",Engineering
"Francis Xavier Engineering College, Vannarpettai",Engineering
"PSN College of Engineering and Technology, Melathediyoor",Engineering
"PET Engineering College, Vallioor",Engineering
"SCAD College of Engineering and Technology, Cheranmahadevi",Engineering
"Einstein College of Engineering, Seethaparpanallur",Engineering
"VV College of Engineering, Tisaiyanvilai",Engineering
"Thamirabharani Engineering College, Thatchanallur",Engineering
"St. Xavier's College (Autonomous), Palayamkottai",Arts and Science
"Sarah Tucker College, Palayamkottai",Arts and Science
"Sadakathullah Appa College, Rahmath Nagar",Arts and Science
"M.D.T. Hindu College, Pettai",Arts and Science
"Rani Anna Government College for Women, Gandhinagar",Arts and Science
"Sri Sarada College for Women, Ariyakulam",Arts and Science
"St. John's College, Palayamkottai",Arts and Science
"Rose Mary College of Arts and Science, Tirunelveli",Arts and Science
"Ambasamudram Arts College, Ambasamudram",Arts and Science
"Kamaraj College of Arts and Science, Surandai",Arts and Science
"Government College of Arts and Science, Nanguneri",Arts and Science
"St. Ignatius College of Education for Women, Palayamkottai",B.Ed
"St. Xavier's College of Education, Palayamkottai",B.Ed
"Sri Sarada College of Education for Women, Tirunelveli",B.Ed
Annammal College of Education for Women,B.Ed
Tirunelveli Medical College - College of Nursing,Nursing
"Annammal College of Nursing, Tirunelveli",Nursing
"Nehru Nursing College, Vallioor",Nursing
"SCAD College of Nursing, Cheranmahadevi",Nursing
"Government Law College, Tirunelveli",Law
"Sankar Polytechnic College, Sankar Nagar",Polytechnic
"SCAD Polytechnic College, Cheranmahadevi",Polytechnic
FX Polytechnic College,Polytechnic
"Government Law College, Palayamkottai",Law
