College Name,Category
"Priyadarshini Engineering College, Vaniyambadi",Engineering
"Podhigai College of Engineering and Technology, Tirupathur",Engineering
"Sri Nandhanam College of Engineering and Technology, Tirupathur",Engineering
"Bharathidasan Engineering College, Natrampalli",Engineering
"S.K.S. Institute of Technology, Natrampalli",Engineering
"Sacred Heart College (Autonomous), Tirupathur",Arts and Science
"Islamiah College (Autonomous), Vaniyambadi",Arts and Science
"Mazharul Uloom College, Ambur",Arts and Science
"Marudhar Kesari Jain College for Women, Vaniyambadi",Arts and Science
"Don Bosco College, Yelagiri Hills",Arts and Science
"Tirupathur Arts and Science College, Tirupathur",Arts and Science
"Islamiah Women's Arts and Science College, Vaniyambadi",Arts and Science
"Holy Cross Arts and Science College, Tirupathur",Arts and Science
Ambur Reddy Education Society College (Ambur),Arts and Science
"Government Arts and Science College, Tirupathur",Arts and Science
"Sri Nandhanam Polytechnic College, Tirupathur",Polytechnic
"Priyadarshini Polytechnic College, Vaniyambadi",Polytechnic
"Government Polytechnic College, Tirupathur",Polytechnic
"Senthil College of Education, Tirupathur",B.Ed
"St. Joseph's College of Education, Vaniyambadi",B.Ed
"Annammal Nursing College, Tirupathur",Nursing
"S.K.S. College of Nursing, Natrampalli",Nursing
