College Name,Category
Tiruppur Government Medical College,Medical
"Sasurie College of Engineering, Vijayamangalam",Engineering
"Jai Shriram Engineering College, Avinashipalayam",Engineering
"Builders Engineering College, Kangeyam",Engineering
"Maharaja Engineering College, Avinashi",Engineering
"Chikkanna Government Arts College, Tiruppur",Arts and Science
"L.R.G. Government Arts College for Women, Tiruppur",Arts and Science
"Tiruppur Kumaran College for Women, Tiruppur",Arts and Science
"Park's College, Tiruppur",Arts and Science
"Vidyasagar College of Arts and Science, Udumalpet",Arts and Science
"G.V.G. Visalakshi College for Women, Udumalpet",Arts and Science
"Government Arts College, Udumalpet",Arts and Science
"NIFT-TEA College of Knitwear Fashion, Tiruppur",Fashion/Arts and Science
"Maharani Arts and Science College, Dharapuram",Arts and Science
"TERF's Academy College of Arts and Science, Tiruppur",Arts and Science
"Sasurie College of Arts and Science, Vijayamangalam",Arts and Science
"A.G. Arts and Science College, Avinashi",Arts and Science
"Government Arts and Science College, Kangeyam",Arts and Science
"Government Arts and Science College, Palladam",Arts and Science
St. Joseph's College for Women (Tiruppur),Arts and Science
"Revathi Medical Center College of Nursing, Tiruppur",Nursing
"Maharani College of Nursing, Dharapuram",Nursing
"S.M.R.V. Government Polytechnic College, Udumalpet",Polytechnic
"Rudhraveni Muthuswami Polytechnic College, Udumalpet",Polytechnic
"Maharaja Polytechnic College, Avinashi",Polytechnic
"Century Foundation College of Education, Tiruppur",B.Ed
"Park's College of Education, Tiruppur",B.Ed
"Maharaja College of Education, Avinashi",B.Ed
"G.V.G. Visalakshi College of Education, Udumalpet",B.Ed
