College Name,Category
Government Medical College Tiruvallur,Medical
"Indira Medical College and Hospitals, Pandur",Medical
"R.M.K. Engineering College, Kavaraipettai",Engineering
"R.M.D. Engineering College, Kavaraipettai",Engineering
"R.M.K. College of Engineering and Technology, Puduvoyal",Engineering
"Sriram Engineering College, Perumalpattu",Engineering
"Prathyusha Engineering College, Aranvoyalkuppam",Engineering
"Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Avadi",University
"Vel Tech Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College, Avadi",Engineering
"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College, Avadi",Engineering
"Jaya Engineering College, Thiruninravur",Engineering
"S.A. Engineering College, Thiruverkadu",Engineering
"J.N.N. Institute of Engineering, Kannigaipair",Engineering
"G.R.T. Institute of Engineering and Technology, Tiruttani",Engineering
"Indira Institute of Engineering and Technology, Pandur",Engineering
"Tamil Nadu Dr. J. Jayalalithaa Fisheries University (FCRI), Ponneri",University
"Loganatha Narayanasamy Government College, Ponneri",Arts and Science
"Government Arts College, Tiruttani",Arts and Science
"Sriram College of Arts and Science, Perumalpattu",Arts and Science
"Jaya College of Arts and Science, Thiruninravur",Arts and Science
"S.A. College of Arts & Science, Thiruverkadu",Arts and Science
"Mahalakshmi Women's College of Arts and Science, Avadi",Arts and Science
"J.N.N. Arts & Science Women's College, Kannigaipair",Arts and Science
"Bhaktavatsalam Memorial College for Women, Korattur",Arts and Science
"DRBCCC Hindu College, Pattabiram",Arts and Science
"Nazareth College of Arts and Science, Avadi",Arts and Science
"G.R.T. College of Nursing, Tiruttani",Nursing
"SRET College of Nursing, Tiruvallur",Nursing
"Indhira College of Nursing, Pandur",Nursing
"G.R.T. College of Education, Tiruttani",B.Ed
"Indhira College of Education, Pandur",B.Ed
"Jaya College of Education, Thiruninravur",B.Ed
"Murugappa Polytechnic College, Avadi",Polytechnic
"Sriram Polytechnic College, Perumalpattu",Polytechnic
"Jaya Polytechnic College, Thiruninravur",Polytechnic
"S.A. Polytechnic College, Thiruverkadu",Polytechnic
"G.R.T. Polytechnic College, Tiruttani",Polytechnic
