College Name,Category
Government Tiruvannamalai Medical College and Hospital,Medical
"University College of Engineering, Arni",Engineering
"Arunai Engineering College, Tiruvannamalai",Engineering
"SKP Engineering College, Tiruvannamalai",Engineering
"S.K.P. Institute of Technology, Tiruvannamalai",Engineering
"Government Arts College, Tiruvannamalai",Arts and Science
"Arignar Anna Government Arts College, Cheyyar",Arts and Science
"Shanmuga Industries Arts and Science College, Tiruvannamalai",Arts and Science
"Kamban College of Arts and Science for Women, Tiruvannamalai",Arts and Science
"Indo-American College, Cheyyar",Arts and Science
"Sri Akilandeswari Women's College, Wandiwash (Vandavasi)",Arts and Science
"Dr. M.G.R. Chockalingam Arts College, Arni",Arts and Science
Thiruvalluvar University College of Arts and Science (Thennangur),Arts and Science
"Sri E.M.R. Arts and Science College, Vembakkam",Arts and Science
"A.M.K. Technological Polytechnic College, Arni",Polytechnic
"Arunai Polytechnic College, Tiruvannamalai",Polytechnic
"S.K.P. Polytechnic College, Tiruvannamalai",Polytechnic
"Government Polytechnic College, Cheyyar",Polytechnic
"Swamy Abedhanandha Polytechnic College, Thellar (Vandavasi)",Polytechnic
Government Tiruvannamalai Medical College - College of Nursing,Nursing
"Bhaarath College of Nursing, Tiruvannamalai",Nursing
"Saraswathi Ammal College of Education, Polur",B.Ed
"Grace College of Education, Tiruvannamalai",B.Ed
