College Name,Category
Central University of Tamil Nadu (CUTN),University
Government Tiruvarur Medical College,Medical
"A.R.J. College of Engineering and Technology, Mannargudi",Engineering
"Anjalai Ammal Mahalingam Engineering College (AAMEC), Kovilvenni",Engineering
"Thiru. Vi. Ka. Government Arts College, Tiruvarur",Arts and Science
"Mannai Rajagopalaswami Government Arts College, Mannargudi",Arts and Science
"S.T.E.T. Women's College (Sengamala Thayaar Educational Trust), Mannargudi",Arts and Science
"Rabiammal Ahamed Maideen College for Women, Tiruvarur",Arts and Science
"Netaji Subash Chandra Bose College, Tiruvarur",Arts and Science
"Swami Dayananda College of Arts and Science, Manjakkudi",Arts and Science
"Government Arts and Science College, Needamangalam",Arts and Science
"Government Arts and Science College, Thiruthuraipoondi",Arts and Science
"Government Arts and Science College, Nannilam",Arts and Science
Government Tiruvarur Medical College - College of Nursing,Nursing
"A.R.J. College of Education, Mannargudi",B.Ed
"Nethaji Subash Chandra Bose College of Education, Tiruvarur",B.Ed
"S.T.E.T. College of Education for Women, Mannargudi",B.Ed
"Devi College of Education, Mannargudi",B.Ed
"Veludayar College of Education, Tiruvarur",B.Ed
"A.R.J. Polytechnic College, Mannargudi",Polytechnic
"S.K. Polytechnic College, Mannargudi",Polytechnic
"Government Polytechnic College, Valangaiman",Polytechnic
"A.R.J. Institute of Management Studies, Mannargudi",Management
