College Name,Category
Vellore Institute of Technology (VIT) Vellore,University
Thiruvalluvar University (Serkkadu),University
Christian Medical College (CMC) Vellore,Medical
"Government Vellore Medical College, Adukkamparai",Medical
Thanthai Periyar Government Institute of Technology (TPGIT),Engineering
Kingston Engineering College,Engineering
Ganadipathy Tulsi's Jain Engineering College,Engineering
"G.G.R. College of Engineering, Vellore",Engineering
Auxilium College (Autonomous),Arts and Science
Muthurangam Government Arts College,Arts and Science
Voorhees College,Arts and Science
D.K.M. College for Women,Arts and Science
"K.M.G. College of Arts and Science, Gudiyattam",Arts and Science
Government Arts and Science College (Katpadi),Arts and Science
E.V.R. Periyar Government Arts College for Women (Vellore),Arts and Science
"CMC College of Nursing, Vellore",Nursing
Government Vellore Medical College - College of Nursing,Nursing
"Sri Narayani College of Nursing, Sripuram",Nursing
St. John's College of Nursing (Vellore),Nursing
"Schieffelin Institute of Health Research and Leprosy Centre, Karigiri",Paramedical
Government College of Education (Vellore),B.Ed
Duraimurugan College of Education,B.Ed
"K.M.G. College of Education, Gudiyattam",B.Ed
Universal College of Education,B.Ed
Muthamil College of Education,B.Ed
"Government Polytechnic College, Vellore",Polytechnic
Rajagopal Polytechnic College (Gudiyattam),Polytechnic
"Nettur Technical Training Foundation (NTTF), Vellore",Polytechnic
Christian Institute of Management,Management
"Sri Ramachandra College of Pharmacy, Vellore",Paramedical
