College Name,Category
Government Villupuram Medical College,Medical
University College of Engineering Villupuram (UCEV),Engineering
University College of Engineering Tindivanam,Engineering
Surya Group of Institutions,Engineering
Mailam Engineering College,Engineering
V.R.S. College of Engineering and Technology,Engineering
IFET College of Engineering,Engineering
Dr. Pauls Engineering College,Engineering
T.S.M. Jain College of Technology,Engineering
Sri Rangapoopathi College of Engineering (Alampoondi),Engineering
Annai Teresa College of Engineering,Engineering
Theivanai Ammal College for Women,Arts and Science
Government Arts College Villupuram,Arts and Science
Arignar Anna Government Arts College (Villupuram),Arts and Science
Joseph Arts and Science College,Arts and Science
K.S. Raja Arts and Science College,Arts and Science
Srimath Sivagnanabalaya Swamigal Tamil Arts & Science College,Arts and Science
Jeyand Saraswathi College of Arts and Science,Arts and Science
Thiruvalluvar University Constituent College of Arts and Science (Tindivanam),Arts and Science
Saraswathi College of Arts and Science (Tindivanam),Arts and Science
Sri Rangapoopathi Arts and Science College,Arts and Science
E.S. College of Nursing,Nursing
Saraswathi College of Nursing,Nursing
Sri Rangapoopathi College of Nursing,Nursing
Paulson Teacher Training College,B.Ed
Bharathi Vidyalaya College of Education,B.Ed
Sigma College of Education,B.Ed
Indira Gandhi Jayanthi Mahila Vidyalaya College of Education,B.Ed
Sri Rangapoopathi College of Education,B.Ed
E.S. Polytechnic College,Polytechnic
Sri Aravindar Polytechnic College,Polytechnic
Elumalai Polytechnic College,Polytechnic
Sri Rangapoopathi Polytechnic College,Polytechnic
