College Name,Category
Kalasalingam Academy of Research and Education,University
Mepco Schlenk Engineering College,Engineering
Kamaraj College of Engineering and Technology,Engineering
Ramco Institute of Technology,Engineering
Sethu Institute of Technology (Kariapatti),Engineering
Sree Sowdambika College of Engineering,Engineering
AAA College of Engineering and Technology,Engineering
P.S.R. Engineering College,Engineering
P.S.R. Rengasamy College of Engineering for Women,Engineering
Srividya College of Engineering and Technology,Engineering
V.P. Muthaiah Pillai Meenakshi Ammal Engineering College for Women,Engineering
Government Virudhunagar Medical College,Medical
V.H.N.S.N. College (Virudhunagar Hindu Nadars' Senthikumara Nadar),Arts and Science
S.F.R. College for Women (Standard Fireworks Rajaratnam),Arts and Science
V.V. Vanniaperumal College for Women,Arts and Science
Ayya Nadar Janaki Ammal College (ANJAC),Arts and Science
Rajapalayam Rajus' College,Arts and Science
Devanga Arts College,Arts and Science
S.B.K. College,Arts and Science
Sri Kaliswari College,Arts and Science
Arulmigu Kalasalingam College of Arts and Science,Arts and Science
V.P. Muthaiah Pillai Meenakshi Ammal Arts and Science College for Women,Arts and Science
Sri Vidhya College of Arts and Science,Arts and Science
Sowdambika College of Arts and Science,Arts and Science
Kalasalingam College of Pharmacy,Paramedical
P.S. Medical Trust College of Nursing,Nursing
Sri Krishna College of Nursing,Nursing
V.V. Vanniaperumal Nursing College,Nursing
P.S.R. College of Education,B.Ed
S.R.V. College of Education,B.Ed
V.P. Muthaiah Pillai Meenakshi Ammal College of Education for Women,B.Ed
K.M. B.Ed. College,B.Ed
Sree Rama Institute of Teacher Education,B.Ed
Arulmigu Kalasalingam College of Education,B.Ed
V.S.V.N. Polytechnic College,Polytechnic
P.A.C. Ramasamy Raja Polytechnic College,Polytechnic
Arulmigu Kalasalingam Polytechnic College,Polytechnic
Sree Sowdambika Polytechnic College,Polytechnic
V.P. Muthaiah Pillai Meenakshi Ammal Polytechnic College for Women,Polytechnic
P.S.R. Polytechnic College,Polytechnic
Ramco Institute of Management,Management
Kalasalingam Institute of Technology,Engineering
