Number,Name,Reserved,District,Lok Sabha Constituency
1,Gummidipoondi,-,Thiruvallur,Tiruvallur
2,Ponneri,SC,Thiruvallur,Tiruvallur
3,Tiruttani,-,Thiruvallur,Arakkonam
4,Thiruvallur,-,Thiruvallur,Tiruvallur
5,Poonamallee,SC,Thiruvallur,Tiruvallur
6,Avadi,-,Thiruvallur,Tiruvallur
7,Maduravoyal,-,Chennai,Sriperumbudur
8,Ambattur,-,Chennai,Sriperumbudur
9,Madavaram,-,Chennai,Tiruvallur
10,Thiruvottiyur,-,Chennai,Chennai North
11,Dr. Radhakrishnan Nagar,-,Chennai,Chennai North
12,Perambur,-,Chennai,Chennai North
13,Kolathur,-,Chennai,Chennai North
14,Villivakkam,-,Chennai,Chennai Central
15,Thiru-Vi-Ka-Nagar,SC,Chennai,Chennai North
16,Egmore,SC,Chennai,Chennai Central
17,Royapuram,-,Chennai,Chennai North
18,Harbour,-,Chennai,Chennai Central
19,Chepauk-Thiruvallikeni,-,Chennai,Chennai Central
20,Thousand Lights,-,Chennai,Chennai Central
21,Anna Nagar,-,Chennai,Chennai Central
22,Virugampakkam,-,Chennai,Chennai South
23,Saidapet,-,Chennai,Chennai South
24,Thiyagarayanagar,-,Chennai,Chennai South
25,Mylapore,-,Chennai,Chennai South
26,Velachery,-,Chennai,Chennai South
27,Sholinganallur,-,Chennai,Chennai South
28,Alandur,-,Chennai,Sriperumbudur
29,Sriperumbudur,SC,Kancheepuram,Sriperumbudur
30,Pallavaram,-,Chengalpattu,Sriperumbudur
31,Tambaram,-,Chengalpattu,Sriperumbudur
32,Chengalpattu,-,Chengalpattu,Kanchipuram
33,Thiruporur,-,Chengalpattu,Kanchipuram
34,Cheyyur,SC,Chengalpattu,Kanchipuram
35,Madurantakam,SC,Chengalpattu,Kanchipuram
36,Uthiramerur,-,Kancheepuram,Kanchipuram
37,Kancheepuram,-,Kancheepuram,Kanchipuram
38,Arakkonam,SC,Ranipet,Arakkonam
39,Sholingur,-,Ranipet,Arakkonam
40,Katpadi,-,Vellore,Arakkonam
41,Ranipet,-,Ranipet,Arakkonam
42,Arcot,-,Ranipet,Arakkonam
43,Vellore,-,Vellore,Vellore
44,Anaikattu,-,Vellore,Vellore
45,Kilvaithinankuppam,SC,Vellore,Vellore
46,Gudiyatham,SC,Vellore,Vellore
47,Vaniyambadi,-,Tirupattur,Vellore
48,Ambur,-,Tirupattur,Vellore
